lng,lat
-90.07570885,29.95982202
-90.07590107,29.95997548
-90.07590107,29.95997548
-90.07581132,29.9599053
-90.07581132,29.9599053
-90.07590107,29.95997548
-90.07590107,29.95997548
-90.07590107,29.95997548
-90.07590107,29.95997548
-90.07590107,29.95997548
-90.07590107,29.95997548
-90.07590107,29.95997548
-90.07590107,29.95997548
-90.07570091,29.95983088
-90.07569157,29.95982453
-90.07571024,29.95983722
-90.07569297,29.95983974
-90.07568363,29.95983339
-90.0757023,29.95984608
-90.0759247,29.96001187
-90.0759247,29.96001187
-90.0758896,29.95998907
-90.0758896,29.95998907
-90.07593187,29.95994024
-90.07602716,29.9600097
-90.07593187,29.95994024
-90.07593187,29.95994024
-90.07573267,29.95979544
-90.07572334,29.95978909
-90.07574201,29.95980178
-90.07605857,29.96003379
-90.07605857,29.96003379
-90.07605857,29.96003379
-90.07605857,29.96003379
-90.07572473,29.9598043
-90.0757154,29.95979795
-90.07573407,29.95981064
-90.07585932,29.95991374
-90.07585932,29.95991374
-90.07585932,29.95991374
-90.07585932,29.95991374
-90.07585932,29.95991374
-90.07585932,29.95991374
-90.07585932,29.95991374
-90.07585932,29.95991374
-90.07604559,29.96004743
-90.07604559,29.96004743
-90.07604559,29.96004743
-90.07604559,29.96004743
-90.07604559,29.96004743
-90.07574717,29.95976251
-90.07574856,29.95977771
-90.07573923,29.95977137
-90.0757579,29.95978406
-90.07574856,29.95977771
-90.07607087,29.96001866
-90.07598001,29.95995124
-90.07607087,29.96001866
-90.07607087,29.96001866
-90.07607087,29.96001866
-90.07607087,29.96001866
-90.07574995,29.95979292
-90.07574062,29.95978657
-90.07574995,29.95979292
-90.07583915,29.95987717
-90.07596831,29.95996476
-90.07573128,29.95978023
-90.07583915,29.95987717
-90.07593187,29.95994024
-90.07593187,29.95994024
-90.07596831,29.95996476
-90.07593187,29.95994024
-90.07593187,29.95994024
-90.07593187,29.95994024
-90.07593187,29.95994024
-90.07593187,29.95994024
-90.07586908,29.95966001
